Accrued Expense,Adopted,Agency,Budget Code,Budget Name,Cash Expense,Committed,Department,Encumbered,Expense Category,Modified,Post Adjustments,Pre-Encumbered,Year
-1305.00,24151741.00,Department of Education,4301,GE INST & SCHOOL SUPERVISION ELE/MIDDLE,47365764.44,47365827.44,GE INSTR & SCH LEADERSHIP - OTPS,0.00,SUPPLIES + MATERIALS - GENERAL,44151741.00,1368.00,0.00,2023
0.00,43865957.00,Department of Education,8489,GE Reimbursable Support,1649384.80,1649384.80,GE INSTR & SCH LEADERSHIP - PS,0.00,FULL YEAR POSITIONS,43865957.00,0.00,0.00,2023
0.00,41667307.00,Pension Contributions,0420,CUNY COMMUNITY COLLEGES,42153535.00,42153535.00,CITY ACTUARIAL PENSIONS,0.00,TEACH RET SYS PENS FND RES #2,42153535.00,0.00,0.00,2023
0.00,35900853.00,Department of Education,8888,REIMBUR SUP-CENTL SCH SUP PROG & SERV,41881086.52,41881086.52,CATEGORICAL PROGRAMS - OTPS,0.00,TRANSPORTATION OF PUPILS,42100853.00,0.00,0.00,2023
0.00,41913066.00,Department of Education,8489,GE Reimbursable Support,55449600.33,55449600.33,GE INSTR & SCH LEADERSHIP - PS,0.00,HEALTH INSURANCE PLAN CITY EMP,41913066.00,0.00,0.00,2023
2359.00,6181193.00,Department of Education,8843,REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS,32271523.51,32274792.91,CATEGORICAL PROGRAMS - OTPS,0.00,CONTRACTUAL SERVICES-GENERAL,40674636.00,910.40,0.00,2023
0.00,40262998.00,Department of Education,8843,REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS,30940571.72,30940635.36,CATEGORICAL PROGRAMS - OTPS,0.00,PROF SERV DIRECT EDUC SERV,40262998.00,63.64,0.00,2023
0.00,46019250.00,Administration for Children's Services,1604,SPECIAL EDUCATION TUITION,28855887.70,28855887.70,CHILD WELFARE-OTPS,0.00,SPEC ED FACIL INST FOST CARE,40062888.00,0.00,0.00,2023
0.00,40062497.00,Department of Education,5121,HOME & HOSPITAL INSTRUCTION,40483031.82,40483031.82,CW SE INSTR & SCHL LEADERSHIP - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,40062497.00,0.00,0.00,2023
0.00,14337132.00,Department of Education,4601,GE INSTRUCTION & SCHOOL SUPERVISION - HS,32325465.87,32325713.34,GE INSTR & SCH LEADERSHIP - OTPS,0.00,SUPPLIES + MATERIALS - GENERAL,39337132.00,247.47,0.00,2023
0.00,39271162.00,Department of Education,A408,ARPA for Prek,0.00,0.00,UNIVERSAL PRE-K - PS,0.00,FULL YEAR POSITIONS,39271162.00,0.00,0.00,2023
0.00,39151482.00,Department of Education,0990,ACTIVE EMPLOYEES,37209364.29,37606883.74,FRINGE BENEFITS - PS,0.00,AWARDS/EXPENSES-WORKMENS COMP,39161022.00,397519.45,0.00,2023
0.00,33729406.00,Department of Education,2645,OPERATIONS,27922330.71,27922330.71,SCHOOL SUPPORT ORGANIZATION,0.00,FULL YEAR POSITIONS,37840455.00,0.00,0.00,2023
0.00,37400000.00,Department of Education,L481,ARPA for Learning Loss,58360940.34,58360940.34,CATEGORICAL PROGRAMS - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,37400000.00,0.00,0.00,2023
